genres,title
Comedy|Horror|Thriller,523
Adventure|Sci-Fi,1230
Action|Adventure|Drama,4884
Documentary|Sci-Fi,20
Action|Adventure|Fantasy|Romance,12
Adventure|Fantasy,7576
Adventure|Drama|Romance|Thriller|War,1065
Animation|Drama,14
Crime,85
Adventure|Documentary|Drama,2
Crime|Drama|Thriller,10579
Romance,155
Action|Drama,9257
Crime|Thriller,1923
Drama|Mystery|Sci-Fi|Thriller,10960
Action|Sci-Fi,851
Comedy|Drama|Horror|Sci-Fi,12
Thriller,20960
Action|Adventure|Fantasy,1713
Documentary|Drama|Thriller,3
Romance|Thriller,107
Comedy|Fantasy|Romance,46
Adventure|Children|Comedy|Mystery,68
Drama|Fantasy|Romance|Sci-Fi,3
Comedy|Drama|Fantasy|Romance,4356
Action|Crime|Drama|Romance,52
Action|Crime|Mystery|Thriller,1935
Animation|Children,998
Action|Horror|Mystery|Sci-Fi|Thriller,13
Comedy|Horror|Romance,22
Comedy|Drama|Musical,41
Drama|Film-Noir|Mystery|Romance,538
Drama|Musical|Romance,1324
Adventure|Comedy|Thriller,976
Animation|Children|Comedy|Romance,13
Comedy|Horror,15901
Adventure|Animation|Fantasy,6
Children|Comedy|Crime|Musical,335
Crime|Horror|Thriller,429
Adventure|Comedy|Sci-Fi,3571
Adventure|Children,1730
Comedy|Drama|Horror|Sci-Fi|Thriller,1503
Action|Thriller|War,2
Action|Adventure|Fantasy|Thriller,13202
Horror|War|Western,67
Action|Animation|Sci-Fi,6
Action|Adventure|Fantasy|Horror,561
Action|Adventure|Animation|Children|Comedy|Sci-Fi,70
Action|Crime|Thriller,2645
Crime|Drama,10474
Romance|Sci-Fi,561
Documentary|Drama,33
Fantasy|Sci-Fi,7
Comedy|Musical|Romance,4741
Documentary|Thriller,51
Adventure|Animation|Comedy,9
Action|Adventure|Animation|Fantasy,55
Comedy|Drama|Mystery|Thriller,3
Drama|Horror|Thriller,1034
Action|Drama|Horror|Sci-Fi|Thriller,1160
Action|Comedy|Thriller,2
Adventure|Drama|Romance|Sci-Fi,0
Children|Fantasy|Sci-Fi,19
Adventure|Drama|Fantasy,31
Horror|Sci-Fi,4051
Drama|Horror|Romance,13
Drama|Mystery|War,7
Adventure,145
Comedy|War,28
Crime|Film-Noir|Horror|Romance|Thriller,24
Fantasy|Horror|Sci-Fi|Thriller,5
Action|Adventure|Romance|War,28
Comedy|Drama|Horror,29
Children|Fantasy,19
Adventure|Children|Sci-Fi|Thriller,78
Adventure|Romance,4
Comedy|Sci-Fi|Thriller,9
Adventure|Comedy|Drama,48
Comedy|Fantasy|Romance|Sci-Fi,52
Animation|Musical|Romance,75
Action|Adventure|Crime|Mystery,5
Animation|Drama|Western,30
Fantasy|Horror,97
Fantasy|Thriller,2
Adventure|Animation|Comedy|Fantasy|Romance,17
Action|Adventure|Comedy|Western,13
Drama|Fantasy|Musical,11
Drama,75276
Comedy|Crime|Drama|Romance|Thriller,412
Animation|Musical,80
Animation|Comedy|Mystery,4
Film-Noir|Horror|Thriller,39
Documentary|Mystery,608
Action|Comedy|Crime|Romance,33
Children|Fantasy|Romance,2
Adventure|Crime|Thriller,2
Mystery|Thriller,724
Action|Adventure|Comedy|Crime,35
War,304
Animation|Drama|Horror|Thriller,9
Documentary,17375
Action|Adventure|Crime,1
Crime|Film-Noir|Mystery,5
Animation|Children|Musical|IMAX,4987
Adventure|Children|Drama|Fantasy|Romance,34
Action|Drama|Fantasy,32
Comedy|Musical|Romance|War,8
Animation|Children|Comedy,511
Comedy|Documentary,2108
Comedy|Crime|Romance,507
