title,average rating,average vote,average popularity,release year
A Cry in the Wild,3.0833333333333335,6.7,0.80227,1990
Amateur,3.687280701754386,6.5,1.7590119999999871,1994
Blind Chance (Przypadek),3.7816901408450705,7.70000000000002,3.2082209999999933,1981
Freaked,3.3043478260869565,6.0,3.256687,1993
Grave Encounters 2,2.6923076923076925,5.199999999999992,9.021940999999996,2012
"Happy Ending, The",2.1666666666666665,6.599999999999999,0.263297,1969
Johnny Angel,2.9166666666666665,5.1000000000000005,0.5183400000000001,1945
Julayi,3.5714285714285716,5.3999999999999995,0.9433869999999998,2012
"Late Great Planet Earth, The",0.5,1.0,0.006091,1979
Late Last Night,2.0,3.5,1.209929,1999
Nemesis,2.8333333333333335,5.3,11.483130000000001,1992
Owen Hart of Gold,4.0,7.0,0.089491,2015
Silk,2.943298969072165,5.600000000000009,4.193073000000009,2007
"Sunset Limited, The",3.738095238095238,7.099999999999955,4.4701330000000175,2011
The Choice Is Ours,4.25,7.0,0.573175,2015
The Encounter,3.7142857142857144,4.7,0.812442,2010
The Stool Pigeon,3.3333333333333335,5.3999999999999995,1.123992,2010
The Tale of John and Marie,3.0,7.1,0.222443,1980
All Passion Spent,4.666666666666667,8.0,0.489913,1986
Barton Fink,3.822636226577644,7.400000000000639,8.387025999999716,1991
Buffalo Running,2.3,5.4,0.22922099999999998,1883
Detention,3.080952380952381,5.7,7.749670000000009,2012
"Hidden Fortress, The (Kakushi-toride no san-akunin)",3.9474755700325734,8.0,5.624254999999928,1958
"Last of the Mohicans, The",3.4097222222222223,6.100000000000008,0.26456499999999994,1920
Mission to Mars,2.676422764227642,5.699999999999552,9.02110699999974,2000
My New Partner II,2.8,6.1,1.468369,1990
Postman Blues,3.4285714285714284,6.6000000000000005,0.6744000000000001,1997
"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World'",3.0,8.0,0.289677,2005
Road to Morocco,3.444206008583691,7.400000000000028,2.0343010000000126,1942
Squirm,2.3076923076923075,5.199999999999992,3.1929309999999935,1976
The Man Who Lived Again,3.0,5.7,1.242866,1936
The Red Lily,3.0,7.0,0.088297,1924
13 Cameras,2.980769230769231,5.5,3.0054229999999986,2015
Bite,2.8333333333333335,5.099999999999999,2.2591749999999995,2015
Building a Building,2.7142857142857144,6.200000000000001,1.0642440000000002,1933
East-West (Est-ouest),3.7409420289855073,7.5,1.0809719999999863,1999
Goodbye First Love,3.3043478260869565,6.400000000000002,3.0092700000000003,2011
John Apple Jack,2.5,5.0,0.057986,2013
Printed Rainbow,3.3333333333333335,5.8,0.109412,2006
Rocket Attack U.S.A.,1.75,1.6,0.400135,1961
Snow and Ashes,3.5,3.5,0.362249,2010
Sukeban Deka,2.75,0.0,0.050485,1987
"Tempest, The",3.125,0.0,1.8E-5,1980
The Women on the Roof,3.0,5.0,0.164654,1989
