production_companies,average rating,average vote,average popularity,release year,userid
Beograd Film,3.0,0.0,6.9E-5,1988,198564
Hollywood Media Bridge|Zero Gravity Management|ChickFlick Productions,0.8333333333333334,4.6,2.092272,2013,71955
Icon Productions|Sobini Films,3.471264367816092,6.599999999999957,21.99175500000001,2014,282242
New World Pictures,2.396511627906977,5.175697674418604,10.96938812790691,1989,282748
Onyx Films|Morocha Films|Big World|Polar Films,3.375,8.7,0.114889,2007,198355
Pandora Filmproduktion|BOB Film Sweden AB|4 1/2,3.0588235294117645,5.400000000000001,2.522415,2011,278623
Trilogy Films|Big Mouth Productions|Cedar Creek Productions,3.75,7.8,0.172762,2016,123100
Warner Bros. Pictures|Franchise Pictures,2.88019801980198,5.599999999999948,6.585106999999986,2003,282074
Arts Council of England|National Lottery|Gruber Bros.|Tomboy Films|Winchester Multimedia PLC,3.4896296296296296,7.0,1.631288000000019,1997,282848
Australian Broadcasting Corporation|Television New Zealand,3.7313084112149535,6.900000000000016,2.6494470000000065,1990,281790
Columbia Pictures Corporation|Relativity Media,3.05625,5.800000000000025,5.953413000000029,2006,283095
Death Awaits Cinema|Twin Engine Films|Pink Buffalo Films,2.6923076923076925,5.199999999999992,9.021940999999996,2012,273842
Eagle Pictures|The Safran Company|Ministero per i Beni e le Attività Culturali (MiBAC)|Roxbury|SUN FILM|Mine Canarias,3.36,6.5,17.02957300000001,2016,261850
Gaumont|TF1 Films Production|S.F.P.C.,2.4285714285714284,6.0,1.0988,1983,231721
Kultkino,3.5,6.0,0.11545,1925,123100
MK Film Productions S.r.l.,3.640625,7.300000000000004,2.271382000000001,2005,281790
PM Entertainment Group,0.5,4.6,1.14583,1994,135282
Quorum Films,3.7,7.800000000000003,3.733440000000001,2016,275841
Scotti Brothers Pictures|International Video Entertainment (IVE),2.590909090909091,5.099999999999996,4.279404999999998,1986,281631
Universal Pictures|Playboy Enterprises|Jennings Lang,4.0,5.0,0.061539,1973,159054
Diversa Audiovisual,3.0,5.5,0.751451,2015,123100
Insomnia Entertainment,2.4615384615384617,5.0,6.262514,2006,278022
