release_year,production_companies
1953,341
7.3,1172
1903,7
1957,2844
"Lt. Robin Crusoe, U.S.N.",6
1987,21226
"where they perform the raucous tune \"\"\\\"\"Earache My Eye.\"\"\\\"\"\\\"\"\"\"7.194364/cBbgz13sfqRMgu2neJYKAJ0xmx5.jpgParamount Pictures,1.5,1978,Cheech and Chong's Up in Smoke,11455,6.7,,",27
1956,2974
1936,108
2016,5711
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,2,1999,\"Girl Next Door",9
2012,5760
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,2.5,1999,\"Girl Next Door",15
1958,7143
1910,1
1943,363
1915,12
1972,1341
1931,290
"Eugene vows to help her \"\"\\\"\"take care\"\"\\\"\" of him. Eugene has reasons of his own for disliking Jack - being a hunter. Jack has always tried to keep him off the property which Eugene's family has hunted on for generations.\"\"\"\"0.157014/6vgWwpd9afTDtOoqjXvsprk3P0p.jpg,Double Helix Films,2,1992,Sleepaway Camp IV: The Survivor,70553,1.9,,",3
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,3.5,1999,\"Girl Next Door",30
1988,2994
42713,16
4235,32
1938,1043
1926,8
1918,19
2017,4386
"Eugene vows to help her \"\"\\\"\"take care\"\"\\\"\" of him. Eugene has reasons of his own for disliking Jack - being a hunter. Jack has always tried to keep him off the property which Eugene's family has hunted on for generations.\"\"\"\"0.157014/6vgWwpd9afTDtOoqjXvsprk3P0p.jpg,Double Helix Films,3,1992,Sleepaway Camp IV: The Survivor,70553,1.9,,",2
1932,20
1977,3989
1971,1159
2014,17211
1984,2965
1982,3568
2013,24173
1941,23152
29966,10
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,5,1999,\"Girl Next Door",6
289097,4
2005,17091
1919,7
2000,67844
1965,830
1962,2528
Glen or Glenda,411
1954,680
1930,79
infamous gangster Bugsy Siegel,151
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,3,1999,\"Girl Next Door",42
1898,28
1981,15434
1940,576
1901,2
1978,28840
1974,1066
2002,52719
1959,894
2009,32785
1995,2784
1964,1518
"she has to follow the family tradition and become the \"\"\\\"\"Woman with the Hair of Steel\"\"\\\"\".\"\"\"\"0.491642/ogAUaiEXadwcX5Xwr6hsNJhSVdp.jpg,Opus Film|Hai Hui Entertainement|Inforg Stúdió,3,2012,Aglaya,205819,5,,",2
August 31st (Oslo,181
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,1,1999,\"Girl Next Door",4
1946,1688
"she has to follow the family tradition and become the \"\"\\\"\"Woman with the Hair of Steel\"\"\\\"\".\"\"\"\"0.491642/ogAUaiEXadwcX5Xwr6hsNJhSVdp.jpg,Opus Film|Hai Hui Entertainement|Inforg Stúdió,3.5,2012,Aglaya,205819,5,,",1
2006,8839
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,4,1999,\"Girl Next Door",33
"where they perform the raucous tune \"\"\\\"\"Earache My Eye.\"\"\\\"\"\\\"\"\"\"7.194364/cBbgz13sfqRMgu2neJYKAJ0xmx5.jpgParamount Pictures,5,1978,Cheech and Chong's Up in Smoke,11455,6.7,,",339
1904,0
1921,1430
"La)\"",1972
La (Paris,17
1916,30
1976,678
1942,9594
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,4.5,1999,\"Girl Next Door",11
1935,2549
1947,37
The (Grande Bellezza,794
while his partner Bill lurks in the shadows and waits for the opportunity to strike. However,1
1967,1676
1968,7325
10109,12
she meets a doctor named Sam Stoneman who is on the hunt for a one-night stand. Sheila develops an intense attraction towards Sam who seemingly is attracted to Sheila's desperately flirtatious roommate. She returns to Harrisburg for a time and comes back to win the heart of Sam only to discover that he has been conned into an engagement with her ex-roommate. Meanwhile,2
1890,8
1883,0
1924,32
2004,28433
1989,16613
2011,12463
1939,160
1992,18257
1961,127
1951,6322
1966,1558
2008,44135
18841,169
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,0.5,1999,\"Girl Next Door",5
1955,7426
loss,2
1917,6
1999,27727
1963,3101
"where they perform the raucous tune \"\"\\\"\"Earache My Eye.\"\"\\\"\"\\\"\"\"\"7.194364/cBbgz13sfqRMgu2neJYKAJ0xmx5.jpgParamount Pictures,1,1978,Cheech and Chong's Up in Smoke,11455,6.7,,",110
1994,74682
43845,11
1950,1235
1997,39351
1973,8592
"where they perform the raucous tune \"\"\\\"\"Earache My Eye.\"\"\\\"\"\\\"\"\"\"7.194364/cBbgz13sfqRMgu2neJYKAJ0xmx5.jpgParamount Pictures,4.5,1978,Cheech and Chong's Up in Smoke,11455,6.7,,",165
1925,6
2007,23950
1996,32452
1983,29612
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,1.5,1999,\"Girl Next Door",6
1969,124
1923,0
