release_year,title
1953,341
7.3,0
1903,7
1957,2848
"Lt. Robin Crusoe, U.S.N.",6
1987,21228
"where they perform the raucous tune \"\"\\\"\"Earache My Eye.\"\"\\\"\"\\\"\"\"\"7.194364/cBbgz13sfqRMgu2neJYKAJ0xmx5.jpgParamount Pictures,1.5,1978,Cheech and Chong's Up in Smoke,11455,6.7,,",0
1956,2975
1936,108
2016,6012
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,2,1999,\"Girl Next Door",9
2012,6243
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,2.5,1999,\"Girl Next Door",15
1958,7149
1910,2
1943,380
1915,12
1972,1348
1931,291
"Eugene vows to help her \"\"\\\"\"take care\"\"\\\"\" of him. Eugene has reasons of his own for disliking Jack - being a hunter. Jack has always tried to keep him off the property which Eugene's family has hunted on for generations.\"\"\"\"0.157014/6vgWwpd9afTDtOoqjXvsprk3P0p.jpg,Double Helix Films,2,1992,Sleepaway Camp IV: The Survivor,70553,1.9,,",0
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,3.5,1999,\"Girl Next Door",30
1988,3754
42713,16
4235,32
1938,1054
1926,8
1918,21
2017,4525
"Eugene vows to help her \"\"\\\"\"take care\"\"\\\"\" of him. Eugene has reasons of his own for disliking Jack - being a hunter. Jack has always tried to keep him off the property which Eugene's family has hunted on for generations.\"\"\"\"0.157014/6vgWwpd9afTDtOoqjXvsprk3P0p.jpg,Double Helix Films,3,1992,Sleepaway Camp IV: The Survivor,70553,1.9,,",0
1932,20
1977,4503
1971,1188
2014,17424
1984,3177
1982,3749
2013,24798
1941,23152
29966,10
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,5,1999,\"Girl Next Door",6
289097,4
2005,17589
1919,18
2000,68637
1965,833
1962,2567
Glen or Glenda,411
1954,680
1930,79
infamous gangster Bugsy Siegel,151
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,3,1999,\"Girl Next Door",42
1898,28
1981,15829
1940,579
1901,2
1978,28842
1974,1080
2002,53395
1959,894
2009,32911
1995,3451
1964,1882
"she has to follow the family tradition and become the \"\"\\\"\"Woman with the Hair of Steel\"\"\\\"\".\"\"\"\"0.491642/ogAUaiEXadwcX5Xwr6hsNJhSVdp.jpg,Opus Film|Hai Hui Entertainement|Inforg Stúdió,3,2012,Aglaya,205819,5,,",0
August 31st (Oslo,181
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,1,1999,\"Girl Next Door",4
1946,1692
"she has to follow the family tradition and become the \"\"\\\"\"Woman with the Hair of Steel\"\"\\\"\".\"\"\"\"0.491642/ogAUaiEXadwcX5Xwr6hsNJhSVdp.jpg,Opus Film|Hai Hui Entertainement|Inforg Stúdió,3.5,2012,Aglaya,205819,5,,",0
2006,9239
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,4,1999,\"Girl Next Door",33
"where they perform the raucous tune \"\"\\\"\"Earache My Eye.\"\"\\\"\"\\\"\"\"\"7.194364/cBbgz13sfqRMgu2neJYKAJ0xmx5.jpgParamount Pictures,5,1978,Cheech and Chong's Up in Smoke,11455,6.7,,",0
1904,1
1921,1430
"La)\"",1972
La (Paris,17
1916,30
1976,696
1942,9598
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,4.5,1999,\"Girl Next Door",11
1935,2549
1947,39
The (Grande Bellezza,794
while his partner Bill lurks in the shadows and waits for the opportunity to strike. However,1
1967,1778
1968,7349
10109,12
she meets a doctor named Sam Stoneman who is on the hunt for a one-night stand. Sheila develops an intense attraction towards Sam who seemingly is attracted to Sheila's desperately flirtatious roommate. She returns to Harrisburg for a time and comes back to win the heart of Sam only to discover that he has been conned into an engagement with her ex-roommate. Meanwhile,2
1890,8
1883,5
1924,32
2004,29419
1989,17226
2011,12618
1939,171
1992,18306
1961,131
1951,6323
1966,1757
2008,44268
18841,169
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,0.5,1999,\"Girl Next Door",5
1955,7432
loss,2
1917,6
1999,28312
1963,3107
"where they perform the raucous tune \"\"\\\"\"Earache My Eye.\"\"\\\"\"\\\"\"\"\"7.194364/cBbgz13sfqRMgu2neJYKAJ0xmx5.jpgParamount Pictures,1,1978,Cheech and Chong's Up in Smoke,11455,6.7,,",0
1994,74782
43845,0
1950,1235
1997,39704
1973,8593
"where they perform the raucous tune \"\"\\\"\"Earache My Eye.\"\"\\\"\"\\\"\"\"\"7.194364/cBbgz13sfqRMgu2neJYKAJ0xmx5.jpgParamount Pictures,4.5,1978,Cheech and Chong's Up in Smoke,11455,6.7,,",0
1925,11
2007,24147
1996,34426
1983,29646
"\" touching on the glamour -- and frequent emptiness -- of life in \"\"\\\"\"the business.\"\"\\\"\"\\\"\"\"\"1.061409/dESrmcdr4mWnvcMYUrU2F5Dc5l8.jpgBerns Brothers Productions|Cafe Sisters Productions,1.5,1999,\"Girl Next Door",6
1969,188
1923,6
